,index,Site,height_mean,height_count,height_std,area_mean,area_count,area_std,n
0,0,ABBY,20.494605505130973,5973919,13.117037880036111,15.891481665602143,5973919,14.288554878867131,31441.678947368422
1,1,BART,17.633279469393525,7709422,4.996332970355664,18.34206528588363,7709422,13.462025520622246,40153.239583333336
2,2,BLAN,18.571007295514622,1586632,7.498203415459843,26.262517023559575,1586632,22.316773052208276,12795.41935483871
3,3,BONA,9.338399618565576,15091742,4.796260640077422,8.577312225479103,15091742,8.971967557572087,39404.026109660575
4,4,CLBJ,9.414122754484655,4129912,3.8984364200512123,22.433752772436584,4129912,19.801993136255945,16007.410852713178
5,5,CUPE,11.709977770527091,700294,4.569776592985783,12.228721322748937,700294,11.657857545046763,46686.26666666667
6,6,DEJU,7.061838712163282,7470266,3.50525283479192,7.005025526554062,7470266,8.87992381483227,20081.360215053763
7,7,DELA,16.303980918374382,2656406,7.446939221845004,17.39540840141175,2656406,18.12629251039174,25790.349514563106
8,8,DSNY,13.38917842400066,5389371,5.6026869214772725,17.07431315081429,5389371,15.189979139481709,18520.17525773196
9,9,GRSM,24.48164954124013,3678568,8.609324493767053,23.05071908142473,3678568,21.717235247154516,29428.544
10,10,GUAN,7.663890928719531,1334078,2.9844691661375,16.797945952172928,1334078,15.579821367644879,11702.438596491229
11,11,GUIL,15.01826772116405,771495,5.752341997483004,14.558548571272723,771495,13.46734567182888,33543.260869565216
12,12,HARV,21.49118978004543,15987702,5.304230277039612,21.26222972826769,15987702,19.173909478464786,29015.793103448275
13,13,HEAL,6.753556742592856,2483414,3.053237618813028,7.7879128127844615,2483414,8.35680214919345,11339.789954337899
14,14,HOPB,22.319796185781662,460919,5.033931147267888,24.017876329762405,460919,19.06425248797813,30727.933333333334
15,15,JERC,16.581373426640624,7089086,6.6384433884141165,26.694988772861734,7089086,27.43609254822382,12524.886925795054
16,16,JORN,8.045731671293899,1597,4.301201887935586,20.44148403254572,1597,23.117975367137237,7.8669950738916254
17,17,KONZ,11.734869282390472,3350561,5.534605339626231,22.094418645187286,3350561,21.777244473400074,7902.266509433963
18,18,LAJA,10.365111926671974,862218,4.504772504637344,18.37542507809991,862218,17.30456462674373,8798.142857142857
19,19,LENO,17.433895581611722,3833913,8.361574268612607,19.668298933733812,3833913,18.560195083303253,32217.756302521007
20,20,MLBS,20.863497772075384,4194877,5.864499418696906,24.459575877887275,4194877,17.400861585476445,31779.371212121212
21,21,MOAB,4.300815872705334,599229,2.566105448317331,15.676669353494985,599229,14.04788051936296,2839.9478672985783
22,22,NIWO,9.87568521756878,14188649,3.713890996742168,5.282170451199946,14188649,5.781690662253293,61689.77826086956
23,23,NOGP,9.240225662852483,282313,4.801032725553428,23.049454258285863,282313,22.244413427597358,2767.774509803922
24,24,OAES,8.827739827174403,369593,3.731835118493252,24.988028290554947,369593,22.750666475880077,1077.530612244898
25,25,OSBS,13.853645449346859,8602454,5.071188225577791,16.596970572569532,8602454,15.050985450767802,23895.705555555556
26,26,PUUM,13.239949349737108,6468887,7.522387318522981,15.120387415936348,6468887,13.970541796145204,36755.03977272727
27,27,REDB,14.31920764644413,236647,8.555225964499781,24.109219935232055,236647,36.91319388673474,8764.703703703704
28,28,RMNP,9.823887950524805,9148241,3.523942072616709,6.790078561572217,9148241,7.504685697968025,57900.259493670885
29,29,SCBI,20.74151329669308,2917297,8.208491217050083,22.987504268572977,2917297,23.723085027882924,29172.97
30,30,SERC,25.035099225487706,1853065,8.601501909163717,23.285775183348147,1853065,22.65272470136197,18908.826530612245
31,31,SJER,9.18612707034802,694619,3.779472927033385,41.87553539418248,694619,39.998600307225054,4015.1387283236995
32,32,SOAP,14.470544802025474,1407084,9.462913203519147,20.54678829407132,1407084,20.937594424324512,20692.41176470588
33,33,SRER,5.127569965060468,2859387,2.84522057272249,17.86278466676986,2859387,20.833811738078793,5265.906077348066
